domain,scenario,seed,round,condition,metric,d_local,d_trajectory,attribution_error,attribution_error_normalized,sign_disagreement,trajectory_history_distance,rank_disagreement
energy_market_v1,baseline_v1,3,4,top_score,total_emissions,-244.661,-244.661,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,top_score,clearing_price,-10.359099999999998,-10.359099999999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,top_score,consumer_cost,-15005.184400000002,-15005.184400000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,top_score,generator_profit_total,-616.4187999999995,-616.4187999999995,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,top_score,renewable_share,0.1061,0.1061,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,top_score,total_emissions,-219.05420000000004,-219.05420000000004,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,top_score,clearing_price,-68.0518,-68.0518,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,top_score,consumer_cost,-33196.0685,-33196.0685,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,top_score,generator_profit_total,-19418.953999999998,-19418.953999999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,top_score,renewable_share,0.4303,0.4303,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,top_score,total_emissions,-165.1766,-165.1766,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,1,random_valid,clearing_price,166.0,166.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,1,random_valid,consumer_cost,44851.150200000004,44851.150200000004,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,1,random_valid,generator_profit_total,38903.562399999995,38903.562399999995,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,1,random_valid,renewable_share,-0.4607,-0.4607,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,1,random_valid,total_emissions,86.18839999999997,86.18839999999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,1,random_valid,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,2,random_valid,clearing_price,-84.0,-84.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,2,random_valid,consumer_cost,-33087.9313,-33087.9313,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,2,random_valid,generator_profit_total,-16619.7493,-16619.7493,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,2,random_valid,renewable_share,-0.4506,-0.4506,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,2,random_valid,total_emissions,-194.7581,-194.7581,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,2,random_valid,unserved_energy,362.6011,362.6011,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,3,random_valid,clearing_price,231.84199999999998,231.84199999999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,3,random_valid,consumer_cost,25334.483100000005,25334.483100000005,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,3,random_valid,generator_profit_total,34120.120599999995,34120.120599999995,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,3,random_valid,renewable_share,0.18509999999999993,0.18509999999999993,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,3,random_valid,total_emissions,-133.2643,-133.2643,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,3,random_valid,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,4,random_valid,clearing_price,170.909,170.909,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,4,random_valid,consumer_cost,14382.263500000001,14382.263500000001,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,4,random_valid,generator_profit_total,23902.207500000004,23902.207500000004,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,4,random_valid,renewable_share,0.16290000000000004,0.16290000000000004,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,4,random_valid,total_emissions,-178.6217,-178.6217,0.0,0.0,False,,False
energy_market_v1,baseline_v1,4,4,random_valid,unserved_energy,483.3782,483.3782,0.0,0.0,False,,False
